Reykjavík,1
Stykkishólmur,178
Bolungarvík,252
Bergstaðir,361
Akureyri,422
Egilsstaðaflugvöllur,571
Höfn í Hornafirði,705
Keflavíkurflugvöllur,990
Grindavík,1361
Eyrarbakki,1395
Garðskagaviti,1453
Bláfjöll,1486
Þingvellir,1596
Hvanneyri,1779
Gufuskálar,1919
Ásgarður,2175
Reykir í Hrútafirði,2197
Bjargtangar,2304
Lambavatn,2315
Patreksfjörður,2319
Arnkatla,2370
Bíldudalur,2428
Bjarnarfjarðarháls,2480
Hólmavík,2481
Flateyri,2631
Þverfjall,2636
Ísafjörður,2642
Súðavík,2646
Æðey,2655
Gjögurflugvöllur,2692
Hornbjargsviti,2862
Sáta,3054
Kolka,3225
Nautabú,3242
Blönduós,3317
Reykir í Fnjóskadal,3380
Ólafsfjörður,3658
Húsavík,3696
Skagatá,3720
Siglufjörður,3752
Siglunes,3754
Grímsey,3976
Hallormsstaður,4060
Seyðisfjörður,4182
Dalatangi,4193
Gagnheiði,4275
Mývatn,4300
Grímsstaðir á Fjöllum,4323
Krafla,4406
Ásbyrgi,4614
Raufarhöfn,4828
Innri Sauðá,5847
Kárahnjúkar,5933
Brú á Jökuldal,5940
Eyjabakkar,5943
Kollaleira,5975
Eskifjörður,5981
Neskaupstaður,5990
Vestmannaeyjabær,6015
Stórhöfði,6017
Þykkvibær,6208
Sámsstaðir,6222
Kirkjubæjarklaustur - Stjórnarsandur,6272
Kálfhóll,6310
Árnes,6420
Búrfell,6430
Lónakvísl,6459
Laufbali,6472
Skaftafell,6499
Vatnsfell,6546
Veiðivatnahraun,6657
Jökulheimar,6670
Setur,6748
Þúfuver,6760
Hágöngur,6776
Húsafell,6802
Hveravellir,6935
Sandbúðir,6975
Þverfellshorn á Esju,10002
